Old Sprite,New Sprite,Old File,New File,Category,Notes
GFX_Generic_National_Focus_USSR_16,GFX_generic_focus_ussr_moscow_motorcade,gfx/interface/goals/generic/ussr/Generic_National_Focus_USSR_16.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_moscow_motorcade.png,ussr,
GFX_Generic_National_Focus_USSR_8,GFX_generic_focus_ussr_red_typewriter,gfx/interface/goals/generic/ussr/Generic_National_Focus_USSR_8.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_red_typewriter.png,ussr,
GFX_Generic_National_Focus_USSR_9,GFX_generic_focus_ussr_sino_soviet_treaty,,,ussr,art lives outside goals/generic/ - sprite renamed only
GFX_Generic_National_Focus_USSR_7,GFX_generic_focus_ussr_soviet_accord,gfx/interface/goals/generic/ussr/Generic_National_Focus_USSR_7.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_soviet_accord.png,ussr,
GFX_Generic_National_Focus_USSR_3,GFX_generic_focus_ussr_soviet_aircraft,gfx/interface/goals/generic/ussr/Generic_Soviet_Planes.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_soviet_aircraft.png,ussr,
GFX_Generic_National_Focus_USSR_13,GFX_generic_focus_ussr_soviet_decree,gfx/interface/goals/generic/ussr/Generic_National_Focus_USSR_13.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_soviet_decree.png,ussr,
GFX_Generic_National_Focus_USSR_17,GFX_generic_focus_ussr_soviet_military_map,gfx/interface/goals/generic/ussr/Generic_National_Focus_USSR_17.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_soviet_military_map.png,ussr,
GFX_Generic_National_Focus_USSR_6,GFX_generic_focus_ussr_soviet_ministry,gfx/interface/goals/generic/ussr/Generic_National_Focus_USSR_6.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_soviet_ministry.png,ussr,
GFX_Generic_National_Focus_USSR_4,GFX_generic_focus_ussr_soviet_supplies,gfx/interface/goals/generic/ussr/Generic_Soviet_Trade.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_soviet_supplies.png,ussr,
GFX_icon_generic_soviet_truck,GFX_generic_focus_ussr_soviet_truck,gfx/interface/goals/generic/ussr/icon_generic_soviet_truck.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_soviet_truck.png,ussr,
GFX_Generic_National_Focus_USSR_12,GFX_generic_focus_ussr_soldier_calling_to_action,gfx/interface/goals/generic/ussr/Generic_National_Focus_USSR_12.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_soldier_calling_to_action.png,ussr,corrected from ussr_soviet_woman_worker
GFX_Generic_National_Focus_USSR_5,GFX_generic_focus_ussr_stalin,gfx/interface/goals/generic/ussr/Generic_National_Focus_USSR_5.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_stalin.png,ussr,
GFX_Generic_National_Focus_USSR_2,GFX_generic_focus_ussr_stalin_and_the_decree,gfx/interface/goals/generic/ussr/Generic_National_Focus_USSR_2.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_stalin_and_the_decree.png,ussr,
GFX_Generic_National_Focus_USSR_10,GFX_generic_focus_ussr_the_kremlin,gfx/interface/goals/generic/ussr/Generic_National_Focus_USSR_10.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_the_kremlin.png,ussr,
,,gfx/interface/goals/generic/ussr/Generic_Brezhnev_1.png,gfx/interface/goals/generic/ussr/generic_focus_ussr_brezhnev.png,ussr,art only - sprite declared in another registry
